Year,Sector,ValueAdded
2012,Arts & Entertainment,197
2013,Arts & Entertainment,206
2014,Arts & Entertainment,218
2015,Arts & Entertainment,251
2016,Arts & Entertainment,256
2017,Arts & Entertainment,265
2018,Arts & Entertainment,280
2019,Arts & Entertainment,295
2020,Arts & Entertainment,193
2021,Arts & Entertainment,242
2022,Arts & Entertainment,303
2023,Arts & Entertainment,366
2005,Accommodation & Food,386
2006,Accommodation & Food,409
2007,Accommodation & Food,430
2008,Accommodation & Food,446
2009,Accommodation & Food,429
2010,Accommodation & Food,441
2011,Accommodation & Food,457
2012,Accommodation & Food,501
2013,Accommodation & Food,523
2014,Accommodation & Food,554
2015,Accommodation & Food,605
2016,Accommodation & Food,640
2017,Accommodation & Food,663
2018,Accommodation & Food,699
2019,Accommodation & Food,739
2020,Accommodation & Food,594
2021,Accommodation & Food,771
2022,Accommodation & Food,907
2023,Accommodation & Food,1006
2005,Other Services,290
2006,Other Services,301
2007,Other Services,314
2008,Other Services,321
2009,Other Services,317
2010,Other Services,325
2011,Other Services,334
2012,Other Services,350
2013,Other Services,367
2014,Other Services,392
2015,Other Services,416
2016,Other Services,425
2017,Other Services,439
2018,Other Services,464
2019,Other Services,489
2020,Other Services,452
2021,Other Services,502
2022,Other Services,562
2023,Other Services,615
2005,Government,1614
2006,Government,1700
2007,Government,1803
2008,Government,1927
2009,Government,2014
2010,Government,2022
2011,Government,1999
2012,Government,2031
2013,Government,2036
2014,Government,2103
2015,Government,2178
2016,Government,2223
2017,Government,2278
2018,Government,2354
2019,Government,2490
2020,Government,2768
2021,Government,2904
2022,Government,2997
2023,Government,3218
